startX	startY	endX	endY	Text
1176	821	1552	994	Butts
1580	839	1781	999	are
449	891	614	1107	福
348	1014	391	1058	厂
1153	1048	1804	1237	Recyclable
180	1193	424	1334	
1303	1629	1802	2199	
1490	2307	1594	2344	中
1397	2318	1418	2337	
1207	2796	1462	2962	Cigarette
1648	2810	1730	2896	are
1472	2854	1660	2921	butts
1224	2903	1321	3000	the
1325	2948	1494	3026	most
1484	2949	1731	2983	littered
1222	2974	1329	3113	itam
1346	3030	1415	3108	i
1425	3038	1544	3116	the
1536	3050	1730	3050	Worla
1266	3177	1448	3299	Thank
1577	3193	1682	3254	for
1218	3229	1418	3403	heeping
1455	3225	1586	3285	you
1634	3231	1716	3328	o
1430	3302	1640	3363	toxins
1228	3347	1285	3410	品
1290	3362	1385	3459	Our
1393	3400	1725	3415	Waterway
1289	3457	1403	3539	and
1405	3483	1651	3525	oceans，
